epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
134,2080.17,1.61822,4.22118,1.08446,0.75293,0.10217,0.13632,0.1004,1.51818,3.82907,1.09028,7.4542e-06,7.4542e-06,7.4542e-06
135,2095.28,1.63087,4.22489,1.07668,0.75293,0.10217,0.13632,0.1004,1.51818,3.82907,1.09028,7.0516e-06,7.0516e-06,7.0516e-06
136,2109.45,1.53927,4.14434,1.11268,0.75491,0.10226,0.13714,0.10088,1.51802,3.82041,1.08994,6.649e-06,6.649e-06,6.649e-06
137,2124.71,1.64952,4.09848,1.10197,0.75491,0.10226,0.13714,0.10088,1.51802,3.82041,1.08994,6.2464e-06,6.2464e-06,6.2464e-06
138,2140.64,1.6442,4.25298,1.08911,0.74557,0.10222,0.1356,0.09938,1.51791,3.82182,1.08958,5.8438e-06,5.8438e-06,5.8438e-06
139,2156.51,1.65377,4.271,1.12691,0.74557,0.10222,0.1356,0.09938,1.51791,3.82182,1.08958,5.4412e-06,5.4412e-06,5.4412e-06
140,2171.42,1.68162,4.20927,1.14942,0.75682,0.10117,0.13577,0.09976,1.5178,3.82479,1.08918,5.0386e-06,5.0386e-06,5.0386e-06
141,2185.35,1.66083,3.88981,1.10177,0.75682,0.10117,0.13577,0.09976,1.5178,3.82479,1.08918,4.636e-06,4.636e-06,4.636e-06
142,2199.51,1.64876,3.84774,1.15042,0.73716,0.10656,0.13499,0.09859,1.52162,3.79585,1.08864,4.2334e-06,4.2334e-06,4.2334e-06
143,2213.49,1.67978,3.98242,1.13942,0.73716,0.10656,0.13499,0.09859,1.52162,3.79585,1.08864,3.8308e-06,3.8308e-06,3.8308e-06
144,2227.04,1.62534,3.94041,1.14345,0.74521,0.10513,0.133,0.09646,1.52748,3.77337,1.08839,3.4282e-06,3.4282e-06,3.4282e-06
145,2240.6,1.66881,4.05679,1.17463,0.74521,0.10513,0.133,0.09646,1.52748,3.77337,1.08839,3.0256e-06,3.0256e-06,3.0256e-06
146,2254.87,1.67272,4.00073,1.12847,0.75274,0.10477,0.1318,0.09483,1.53258,3.75934,1.09027,2.623e-06,2.623e-06,2.623e-06
147,2269.35,1.65044,3.97792,1.16066,0.75274,0.10477,0.1318,0.09483,1.53258,3.75934,1.09027,2.2204e-06,2.2204e-06,2.2204e-06
148,2284.32,1.67174,3.97509,1.16341,0.76036,0.10491,0.13183,0.09468,1.53755,3.74416,1.09231,1.8178e-06,1.8178e-06,1.8178e-06
149,2298.1,1.61262,3.96286,1.13238,0.76036,0.10491,0.13183,0.09468,1.53755,3.74416,1.09231,1.4152e-06,1.4152e-06,1.4152e-06
150,2312.46,1.619,4.07221,1.13729,0.75204,0.10488,0.1304,0.09329,1.54353,3.7376,1.0941,1.0126e-06,1.0126e-06,1.0126e-06
